id,password,last_login,is_superuser,is_staff,is_active,date_joined,last_name,first_name,last_name_kana,first_name_kana,birthday,sex,height,weight,phone_number,postal_code,prefecture,city,addressline1,building,emargency_contact_number,emargency_person,email
1,pbkdf2_sha256$320000$uDQN2Hd3uuXlWgnAExbCJV$xMAZ5UyZPHwZlzNdkr5O0WwdIOr5i8ZTIbAywk9/bZo=,2022-05-29 02:48:52.708891,1,1,1,2022-05-26 03:35:22,yoneda,yuika,よねだ,ゆいか,1995-09-25,女性,100,100,1000000,199999,東京,としまく,なんとか,かんとか,100000000,はは,cpyp99999@gmail.com
2,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,斎藤,兎,さいとう,うさぎ,2022-05-27,女性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,usagi@mail.com
3,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,伊藤,愛,いとう,あい,2022-05-27,女性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,makoto_saito@example.net
4,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,後藤,健,ごとう,たける,2022-05-27,男性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,numata_117@example.com
5,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,猫山,太郎,ねこやま,たろう,2022-05-27,男性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,chieko_nakamoto@example.org
6,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,羽生,史郎,はぶ,しろう,2022-05-27,男性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,kamijoshintaro@example.co.jp
7,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,浅田,恵,あさだ,めぐみ,2022-05-27,女性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,doihiromi@example.org
8,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,田中,真央,たなか,まお,2022-05-27,女性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,yukiyasutomi@example.jp
9,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,宮原,京子,みやはら,きょうこ,2022-05-27,女性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,akaiwa518@example.jp
10,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,笹山,亜里沙,ささやま,ありさ,2022-05-27,女性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,sato1120@example.jp
11,akademi1,2022-05-27 06:37:42,0,0,1,2022-05-27 06:37:33,石原,里美,いしはら,さとみ,2022-05-27,女性,130,30,123456,123456,うさぎ県,うさぎ市,1丁目,うさぎアパート101,123456,うさぎ父,takeda_tsubasa@example.com
